NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,0,50,udp,10ms,0,handel,51,50ms,100,1,12,52,31.8,3180,8.256,2551,1.19E+04,7383,7.38E+05,1880,26,60,45.28,4528,5.479,6110,1.39E+04,1.05E+04,1.05E+06,1275,0,0.01704,0.004622,0.4622,0.004599,0.1044,0.2345,0.1708,17.08,0.0256,0.1179,0.3036,0.189,18.9,0.03659,8,22,16.37,1637,2.74,4.083,9.737,7.068,706.8,1.431,0.5,18.1,6.416,641.6,4.57,0,37,13.19,1319,9.569,4,14,9.28,928,2.305,4,8,6.31,631,0.6919
10,0,0,150,udp,10ms,1,handel,153,50ms,300,1,20,100,48.09,1.44E+04,13.62,4240,2.10E+04,1.07E+04,3.19E+06,2981,15,130,70.68,2.11E+04,13.85,3525,3.04E+04,1.57E+04,4.70E+06,3246,0,0.03992,0.003598,1.076,0.006628,0.1385,0.3337,0.2164,64.72,0.04104,0.1715,0.4269,0.2609,78,0.05069,10,32,19.94,5962,4.133,4.062,10.18,6.111,1827,1.452,0.4667,30.63,4.814,1439,4.365,0,72,12.68,3791,14.31,3,21,10.94,3272,3.431,5,12,8.231,2461,1.107
10,0,0,250,udp,10ms,2,handel,255,50ms,500,1,20,129,61.06,3.04E+04,15.97,4660,2.79E+04,1.34E+04,6.68E+06,3615,51,143,83.7,4.17E+04,11.25,1.10E+04,3.38E+04,1.85E+04,9.20E+06,2623,0,0.02985,0.003552,1.769,0.005518,0.1433,0.3775,0.2412,120.1,0.04337,0.2044,0.4931,0.3044,151.6,0.05063,13,37,21.75,1.08E+04,4.179,3.929,10.4,6.185,3080,1.342,0.4,43.42,5.094,2537,5.679,0,116,15.33,7632,18.41,4,24,11.67,5813,3.408,7,13,9.353,4658,1.176
10,0,0,500,udp,10ms,3,handel,510,50ms,1000,1,45,150,108.2,1.02E+05,16.38,8918,3.65E+04,2.34E+04,2.19E+07,3651,44,200,129.5,1.22E+05,27.81,9848,4.43E+04,2.81E+04,2.65E+07,6254,0,0.04496,0.006155,5.693,0.008703,0.1887,0.5146,0.3396,313.4,0.06204,0.3167,0.6089,0.4632,431.7,0.049,14,46,28.69,2.64E+04,6.361,4.208,12.31,6.709,6146,1.489,0.3333,33.47,5.49,5035,5.314,0,119,28,2.57E+04,24.99,5,28,15.62,1.45E+04,4.841,9,19,12.51,1.17E+04,2.022
10,0,0,750,udp,10ms,4,handel,765,50ms,1500,1,38,177,110.6,1.62E+05,22.63,1.01E+04,3.92E+04,2.46E+04,3.61E+07,5208,7,239,137.2,2.02E+05,31.65,1652,5.61E+04,3.07E+04,4.50E+07,7183,0,0.03842,0.005502,8.055,0.008414,0.1517,0.5478,0.3668,538.9,0.08127,0.1518,0.7011,0.4817,707.6,0.07886,13,51,30.62,4.48E+04,7.826,4.118,11.71,7.183,1.05E+04,1.644,0.3333,238.8,7.14,1.04E+04,11.98,0,172,31.53,4.61E+04,24.74,5,36,16.68,2.45E+04,5.532,5,23,13.18,1.94E+04,2.838
10,0,0,1000,udp,10ms,5,handel,1020,50ms,2000,1,78,189,131.3,2.08E+05,18.93,1.85E+04,4.37E+04,2.97E+04,4.68E+07,4069,79,279,159.5,2.57E+05,31.58,1.85E+04,6.68E+04,3.70E+04,5.89E+07,6990,0,0.0584,0.005978,9.003,0.00982,0.2221,0.6294,0.4477,665.7,0.06974,0.4624,0.7331,0.5671,860.9,0.04526,16,59,37.19,5.48E+04,7.608,4.385,12.25,7.834,1.16E+04,1.595,0.4615,39.84,8.014,1.19E+04,5.441,0,171,39.83,5.93E+04,25.74,5,37,20.37,3.12E+04,5.616,10,25,15.96,2.49E+04,2.841
10,0,0,1500,udp,10ms,0,handel,1530,50ms,3000,1,45,187,130.5,1.83E+05,14.65,1.28E+04,4.94E+04,3.06E+04,4.16E+07,4199,27,225,155.8,2.19E+05,25.18,5032,5.74E+04,3.82E+04,5.26E+07,7327,0,0.06956,0.005397,7.037,0.01045,0.2864,0.6845,0.5045,646.3,0.04872,0.2923,0.7685,0.6054,805.8,0.04396,23,59,42.47,5.47E+04,5.29,5.086,12.27,8.588,1.11E+04,1.334,1.323,304.2,9.033,1.16E+04,12.26,7,268,47.21,5.97E+04,21.54,10,42,23.45,3.14E+04,4.49,7,27,17.98,2.42E+04,2.831
10,0,0,2000,udp,10ms,1,handel,2040,50ms,4000,1,0,199,143,3.08E+05,18.36,0,5.26E+04,3.48E+04,7.62E+07,5040,1,239,170.3,3.82E+05,28.94,236,6.14E+04,4.34E+04,9.27E+07,8205,0,0.0655,0.004541,9.395,0.01018,0.04914,0.7311,0.5571,1131,0.04991,0.04924,0.8038,0.6502,1362,0.05162,4,66,46.06,8.94E+04,5.036,5.343,26.24,9.567,1.87E+04,1.318,1.475,279.5,12.98,2.66E+04,12.24,5,249,58.76,1.17E+05,21.7,1,39,23.73,4.78E+04,4.1,2,33,21.41,4.47E+04,2.936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOVE ARE THE BESTS MEASUREMENTS GROUPED - BELOW ARE ALL THE MEASUREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,0,50,udp,10ms,0,handel,51,50ms,100,1,12,52,31.8,3180,8.256,2551,1.19E+04,7383,7.38E+05,1880,26,60,45.28,4528,5.479,6110,1.39E+04,1.05E+04,1.05E+06,1275,0,0.01704,0.004622,0.4622,0.004599,0.1044,0.2345,0.1708,17.08,0.0256,0.1179,0.3036,0.189,18.9,0.03659,8,22,16.37,1637,2.74,4.083,9.737,7.068,706.8,1.431,0.5,18.1,6.416,641.6,4.57,0,37,13.19,1319,9.569,4,14,9.28,928,2.305,4,8,6.31,631,0.6919
10,0,0,150,udp,10ms,1,handel,153,50ms,300,1,24,99,48.88,1.46E+04,12.08,5166,2.16E+04,1.08E+04,3.22E+06,2779,28,120,66.9,2.00E+04,15.66,6246,2.72E+04,1.48E+04,4.42E+06,3568,0,0.02559,0.003153,0.9428,0.005056,0.1329,0.3093,0.2164,64.71,0.03613,0.1858,0.4058,0.267,79.83,0.04546,10,29,19.69,5887,3.708,4.067,10.15,6.004,1795,1.257,0.375,26.36,4.461,1334,4.015,0,56,13.8,4126,12.75,4,19,10.73,3209,3.163,5,11,8.258,2469,0.9986
10,0,0,250,udp,10ms,2,handel,255,50ms,500,1,31,120,84.45,4.21E+04,15.95,7146,2.84E+04,1.79E+04,8.94E+06,3472,26,169,99.79,4.97E+04,26,4933,3.86E+04,2.13E+04,1.06E+07,5597,0,0.03918,0.004507,2.245,0.006599,0.157,0.4199,0.2712,135,0.04973,0.2488,0.5167,0.394,196.2,0.0497,12,37,22.87,1.14E+04,4.944,4.105,10.42,6.341,3158,1.284,0.3846,25.55,4.612,2297,4.229,0,106,20.9,1.04E+04,18.52,4,24,12.46,6203,3.847,6,15,9.847,4904,1.481
10,0,0,500,udp,10ms,3,handel,510,50ms,1000,1,57,153,114.4,1.13E+05,13.69,1.26E+04,3.40E+04,2.51E+04,2.48E+07,2995,65,202,136.7,1.35E+05,26.35,1.39E+04,4.53E+04,3.02E+04,2.98E+07,5667,0,0.04919,0.005656,5.548,0.008675,0.2146,0.5291,0.375,367.1,0.06458,0.3683,0.6423,0.5017,492.7,0.04199,16,53,31.9,3.11E+04,7.136,4.095,11.1,7.185,7013,1.586,0.2778,34.66,6.539,6369,5.168,0,129,31.37,3.07E+04,23.1,6,32,17.4,1.71E+04,5.167,9,23,13.65,1.34E+04,2.643
NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,0,50,udp,10ms,0,handel,51,50ms,100,1,12,60,31.51,3151,9.133,2809,1.30E+04,7283,7.28E+05,2007,33,54,44.99,4499,4.466,7621,1.26E+04,1.03E+04,1.03E+06,1062,0,0.01258,0.002996,0.2996,0.0035,0.0903,0.2338,0.1729,17.29,0.03114,0.1237,0.3125,0.1924,19.24,0.03723,6,24,16.32,1632,3.104,4.364,9.611,6.965,696.5,1.506,0.3333,27.35,7.073,707.3,5.4,0,40,13.2,1320,10.23,2,15,9.18,918,2.572,4,8,6.37,637,0.7199
10,0,0,150,udp,10ms,1,handel,153,50ms,300,1,27,109,52.79,1.58E+04,14.47,6149,2.39E+04,1.16E+04,3.48E+06,3263,36,153,75.41,2.26E+04,15.33,7392,3.62E+04,1.67E+04,5.00E+06,3453,0,0.02419,0.003458,1.037,0.00514,0.1261,0.3551,0.2256,67.69,0.03946,0.2046,0.4681,0.2852,85.55,0.04726,10,32,20.47,6140,3.96,4.067,9.941,5.997,1799,1.274,0.4,39.69,4.789,1437,5.221,0,109,14.2,4260,16.45,4,19,11.11,3332,3.207,5,13,8.64,2592,1.22
10,0,0,250,udp,10ms,2,handel,255,50ms,500,1,24,123,69.07,3.30E+04,16.09,5420,2.66E+04,1.50E+04,7.15E+06,3683,48,149,91.64,4.37E+04,15.67,1.10E+04,3.43E+04,1.99E+04,9.47E+06,3475,0,0.02622,0.003855,1.835,0.005532,0.1397,0.411,0.2561,121.9,0.04695,0.1923,0.4785,0.3299,157.3,0.05257,11,38,22.6,1.08E+04,4.843,4,10.73,6.263,2975,1.454,0.375,40.28,5.325,2529,6.119,0,98,18.18,8634,20.3,3,24,12.1,5770,3.701,7,15,9.813,4681,1.588
10,0,0,500,udp,10ms,3,handel,510,50ms,1000,1,61,155,112.8,1.10E+05,14.29,1.35E+04,3.49E+04,2.45E+04,2.37E+07,2944,56,190,132.4,1.29E+05,28.11,1.15E+04,4.37E+04,2.89E+04,2.80E+07,6033,0,0.05149,0.00579,5.471,0.008957,0.202,0.5389,0.3638,345.3,0.06845,0.3529,0.6262,0.4891,467.1,0.04286,15,50,30.83,2.90E+04,7.409,4.138,11.37,6.934,6483,1.503,0.3333,37.78,5.894,5535,5.146,0,129,29.67,2.78E+04,23.1,5,35,17.34,1.66E+04,5.846,9,20,12.7,1.23E+04,2.163
10,0,0,750,udp,10ms,4,handel,765,50ms,1500,1,79,173,118.3,1.53E+05,13.14,1.70E+04,4.20E+04,2.63E+04,3.35E+07,3323,48,205,141.1,1.82E+05,21.72,8983,4.70E+04,3.17E+04,4.06E+07,5187,0,0.04376,0.005025,6.281,0.008565,0.2214,0.5809,0.4081,505.6,0.06679,0.3931,0.6824,0.5271,655.2,0.04611,17,57,34.74,4.27E+04,7.056,4.174,11.52,7.159,8691,1.519,0.3684,43.72,5.908,7272,5.255,0,212,34.3,4.20E+04,25.02,7,39,19.71,2.47E+04,5.57,10,21,14.13,1.77E+04,2.282
10,0,0,1000,udp,10ms,5,handel,1020,50ms,2000,1,78,189,131.3,2.08E+05,18.93,1.85E+04,4.37E+04,2.97E+04,4.68E+07,4069,79,279,159.5,2.57E+05,31.58,1.85E+04,6.68E+04,3.70E+04,5.89E+07,6990,0,0.0584,0.005978,9.003,0.00982,0.2221,0.6294,0.4477,665.7,0.06974,0.4624,0.7331,0.5671,860.9,0.04526,16,59,37.19,5.48E+04,7.608,4.385,12.25,7.834,1.16E+04,1.595,0.4615,39.84,8.014,1.19E+04,5.441,0,171,39.83,5.93E+04,25.74,5,37,20.37,3.12E+04,5.616,10,25,15.96,2.49E+04,2.841
NodeCount,UnsafeSleepTimeOnSigVerify,failing,nbOfInstances,network,period,run,simulation,threshold,timeout,totalNbOfNodes,updateCount,net_rcvd_min,net_rcvd_max,net_rcvd_avg,net_rcvd_sum,net_rcvd_dev,net_rcvdBytes_min,net_rcvdBytes_max,net_rcvdBytes_avg,net_rcvdBytes_sum,net_rcvdBytes_dev,net_sent_min,net_sent_max,net_sent_avg,net_sent_sum,net_sent_dev,net_sentBytes_min,net_sentBytes_max,net_sentBytes_avg,net_sentBytes_sum,net_sentBytes_dev,sigen_system_min,sigen_system_max,sigen_system_avg,sigen_system_sum,sigen_system_dev,sigen_user_min,sigen_user_max,sigen_user_avg,sigen_user_sum,sigen_user_dev,sigen_wall_min,sigen_wall_max,sigen_wall_avg,sigen_wall_sum,sigen_wall_dev,sigs_sigCheckedCt_min,sigs_sigCheckedCt_max,sigs_sigCheckedCt_avg,sigs_sigCheckedCt_sum,sigs_sigCheckedCt_dev,sigs_sigCheckingTime_min,sigs_sigCheckingTime_max,sigs_sigCheckingTime_avg,sigs_sigCheckingTime_sum,sigs_sigCheckingTime_dev,sigs_sigQueueSize_min,sigs_sigQueueSize_max,sigs_sigQueueSize_avg,sigs_sigQueueSize_sum,sigs_sigQueueSize_dev,sigs_sigSuppressed_min,sigs_sigSuppressed_max,sigs_sigSuppressed_avg,sigs_sigSuppressed_sum,sigs_sigSuppressed_dev,store_replaceTrial_min,store_replaceTrial_max,store_replaceTrial_avg,store_replaceTrial_sum,store_replaceTrial_dev,store_successReplace_min,store_successReplace_max,store_successReplace_avg,store_successReplace_sum,store_successReplace_dev
10,0,0,50,udp,10ms,0,handel,51,50ms,100,1,8,51,29.1,2910,9.279,1678,1.08E+04,6512,6.51E+05,2066,15,84,48.69,4869,9.83,3510,1.80E+04,1.07E+04,1.07E+06,2141,0,0.01762,0.002888,0.2888,0.003869,0.0963,0.2722,0.1725,17.25,0.03713,0.1568,0.3389,0.224,22.4,0.04307,7,26,16.55,1655,3.993,4.125,8.059,5.351,535.1,0.9192,0.3846,15.71,3.811,381.1,3.141,0,32,6.33,633,7.168,2,15,8.61,861,3.21,4,10,7.14,714,1.247
